Source,Sentence
Train,He has left.
Train,Donna fixed a sandwich for me.
Train,Carmen bought a dress from Diana.
Train,Bill alleged that Roger has eaten the cake.
Train,I want to go.
Train,The dog chased the cat for days.
Train,He stopped writing poems.
Train,We ate at a really fancy restaurant.
Train,The sexual revolution makes some people uncomfortable.
Train,He fed the children.
Train,Mickey slips up all the time.
Train,I put the books on the table.
Train,Carla was shoveling the walk.
Train,John told us which book we should review.
Train,He continued writing poems.
Train,The jury seemed ready to leave.
Train,I lifted the books.
Train,They made him into a monster.
Train,The meat cuts easily.
Train,A pregnant woman hit a girl.
Train,Tom bathed Fido in the garage.
Train,The crowd vanished.
Train,Carla poured lemonade into the pitcher.
Train,The door was pushed open.
Train,I sent it to you.
Train,The river runs from the lake to the sea.
Train,His friend kicked a ball.
Train,few clues could be found.
Train,We abandoned the area.
Train,John fears dogs.
Train,Henry saw that Bill left.
Train,It was Tom who spilled beer on this couch.
Train,The fly fell into the soup.
Train,Mary managed to go abroad.
Train,I am more angry than sad.
Train,I had eaten the deep fried muffins.
Train,It is likely that Bill likes chocolate.
Train,No reading of Shakespeare satisfied me
Train,She is dancing.
Train,I admired his honesty.
Train,Vera is knitting there.
Train,John spoke intimately to Mary.
Train,Anne met with Cathy.
Train,It is certain that John has loved Mary.
Train,Julie felt he was there
Train,Sally believes that she is brilliant.
Train,The cat had been eating.
Train,They have no car.
Train,The bell rang.
Train,Students objected to the teacher.
Train,It is likely that John will leave.
Train,I might eat deep fried muffins.
Train,Paula hit the fence.
Train,Golfers can be good company.
Train,Carmen bought a dress for Mary.
Train,There seems to be a fountain in the park.
Train,A man kicked that ball.
Train,Smith inscribed his name over the door.
Train,The muffins were eaten.
Train,Mary confidently answered any objections.
Train,He looks more formidable than he is.
Train,I wonder whether Mary will win.
Train,John included his name in the list.
Train,The strong winds cleared the skies.
Train,The moon glows in the darkness.
Train,The children were uneducated.
Train,Everyone thinks he is smart.
Train,A magnificent diamond sparkled on his finger.
Train,The students felt comfortable in the class.
Train,I broke those twigs and branches apart.
Train,Mary plays the violin beautifully.
Train,Mary has more than two friends.
Train,He looked the number up
Train,Never had Sir Thomas been so offended.
Train,The witch poisoned Snow White.
Train,The explorers cut their way through the jungle.
Train,The captain sank the boat with a torpedo.
Train,The tree was looked after by Kim.
Train,The tuna will be eaten.
Train,The dentist is eager to examine Pat.
Train,Herman whipped the cream.
Train,She held him by the arm.
Train,The Minister has arrived.
Train,Almost every lawyer could answer that question.
Train,I mixed the soap and the water.
Train,Six students got shot accidentally.
Train,I doubt his sincerity.
Train,John made Mary cook Korean food.
Train,I ate the apple.
Train,I sent a surprise present to John.
Train,He gave my binoculars to that girl.
Train,John sent her to Seoul.
Train,A boy did not laugh.
Train,They talked to Kim and to each other.
Train,Water fills the tub.
Train,I read a statement which was about that man.
Train,Mary taught linguistics to John.
Train,I ordered John to drink his beer.
Train,John seems to like pictures of himself.
Train,He turned off the light.
Train,John got the book from Bill.
Train,He took John to the school by the park.
Train,John is as intelligent as Mary.
Train,The weights stretched the rope over the pulley.
Train,Susan wanted Jane to study German.
Train,You may pick any flower.
Train,John sang beautifully.
Train,They prefer for Mary to leave.
Train,Margaret cut Bill on the arm.
Train,John tries to fix the computer.
Train,Larry hunted all the foxes.
Train,Fanny loved talking to Mary.
Train,The son took care of his parents.
Train,Helen wiped the wall.
Train,Andy promised we would go.
Train,Fabio asked if Claus had run a marathon.
Train,John promised us to be gentle.
Train,They gave the bicycle to me.
Train,Almost any lawyer could answer that question.
Train,Susan rode a bright blue train from New York.
Train,John drove the car.
Train,They hit the ball.
Train,Rutherford understands himself.
Train,They saw Bill leave.
Train,He planted the garden last November with roses.
Train,John has taken Bill to the library.
Train,John promised Mary to cut the grass.
Train,John shot the ball perfectly.
Train,He got what he wanted.
Train,John knows that she left.
Train,I took it for granted that she was lying.
Train,I know several people that she kissed.
Train,You are a student.
Train,Linda taped the label and the cover together.
Train,Almost no lawyer could answer that question.
Train,Mary talks to any student.
Train,Columbus believed the earth to be round.
Train,Under the bed is a safe place to hide.
Train,John is easy to please.
Train,We were glad it was over.
Train,John is very fond of Mary.
Train,He was hoping for more than we offered.
Train,Frank bought something for Jane.
Train,Bill has been dancing.
Train,Doug cleared the table.
Train,Bill slowly recited his lines.
Train,The garden flowered with roses.
Train,the pencil with which he is writing broke.
Train,Amanda carried the package.
Train,The captain named the ship Seafarer.
Train,Jean tried to behave.
Train,The executive committee approved the new policy.
Train,Philippa cried herself to sleep.
Train,The sofa was longer than the desk was.
Train,Louise broke the cup.
Train,Gary and Kevin ran themselves into exhaustion.
Train,Everyone should be able to defend himself.
Train,John is happy about the outcome.
Train,They lent me a bicycle.
Train,I saw the brilliant student.
Train,John was seeing his children.
Train,A hundred men lifted the table together.
Train,I asked who she kissed.
Train,There remained just a few problems to be solved.
Train,I wonder if you will come back tomorrow.
Train,Frank threw himself into the sofa.
Train,We persuaded the dentist to examine us.
Train,Poseidon appears to own a dragon
Train,The news pleased the students.
Train,I never have a pen when I need it.
Train,You married no one.
Train,Give the baby the bottle full.
Train,Mary received an award from the department.
Train,the girls likes themselves.
Train,I know a taller man than John.
Train,Steve tossed the ball into the garden.
Train,They praised the volunteers for their dedication.
Train,Dracula thought himself to be the Prince of Darkness.
Train,I compared Ginger to Fred
Train,I broke the twig and the branch apart.
Train,Steve tossed the softball.
Train,One of the people was dying of thirst.
Train,He is not finishing.
Train,Someone attended every seminar.
Train,John received the parcel.
Train,Stacy danced at the palace.
Train,Gerry became quite conservative.
Train,Carla slid those books across the table.
Train,The new policy was approved by the executive committee.
Train,He ought to leave his luggage here.
Train,A boy hit the ball.
Train,The gardener watered the flowers.
Train,The child broke the teapot by accident.
Train,The child clung to her mother.
Train,I saw only the student.
Train,John seems to be honest.
Train,Dana is longing for a sunny day.
Train,Tom placed it under the table.
Train,Bill went to London on Monday.
Train,even the student left.
Train,I did it more in jest than in anger.
Train,Car sales have surprised the stockbrokers.
Train,Fanny regretted talking to Mary.
Train,John has been chosen for the position.
Train,The farmer loaded apples into the cart.
Train,Melissa searched for a clue in the papers.
Train,Ellen and Helen conferred.
Train,Press the stamp against the pad completely.
Train,A professional dancer would be able to do it.
Train,Brutus murdered Julius Caesar.
Train,John learned a lesson.
Train,I ate the sugar.
Train,It may rain.
Train,That was why she looked so nice.
Train,Crystal vases break easily.
Train,John fed rice to the baby.
Train,Joseph has forgotten how many matches he has won.
Train,There are strangers in that garden.
Train,The judge offered a prize to the winner.
Train,John said Mary went to the store quickly.
Train,John immediately learned French perfectly.
Train,Reading about herself in the tabloids always annoys Sandra.
Train,John hit the ball with a bat.
Train,Some rare old manuscripts have been gotten hold of.
Train,I mailed the sweater to Mary.
Train,The tree dropped fruit to the ground.
Train,Shannon sent Dan an email.
Train,John remained somewhat calm.
Train,John wants him to leave.
Train,John is eager to find a new home.
Train,That chisel carved the statue.
Train,There appeared a ship on the horizon.
Train,Sir Walter Elliott imagined that he was still handsome.
Train,Brutus murdered Julius Caesar with a dagger.
Train,Amanda carried the package from Boston to New York.
Train,John put books in the box.
Train,The dog barked at the cat.
Train,John believes that Bill has slept.
Train,Kim sang and was accompanied by Sandy.
Train,The dentist is likely to examine Pat.
